,price,location,baths,bedrooms,Total_Area
2,16500000,G-15,6,5,2178.008
3,43500000,Bani Gala,4,4,10890.0
4,7000000,DHA Defence,3,3,2178.008
5,34500000,Ghauri Town,8,8,87120.0
6,27000000,Korang Town,8,8,5445.0
8,50000000,DHA Defence,7,7,5445.0
12,400000000,F-6,0,0,245025.0
16,19000000,DHA Defence,3,3,2722.51
17,80000000,DHA Defence,7,7,10890.0
18,26900000,B-17,6,6,5445.0
20,55000000,G-11,7,6,3811.514
21,4500000,Bhara kahu,3,3,1361.255
24,4500000,Garden Town,4,4,12795.797
25,6800000,Koral Town,4,4,1089.004
26,20000000,Soan Garden,5,6,3267.012
28,100000000,F-6,5,5,48460.67799999999
31,220000000,F-7,10,10,114345.0
32,4500000,Ghauri Town,3,2,1361.255
33,12500000,other,5,6,2178.008
34,230000000,E-7,4,4,136125.0
221,38800000,Emaar Canyon Views,4,5,81675.0
224,46500000,G-13,9,9,29675.359
226,14000000,F-17,6,4,1905.757
228,32500000,Korang Town,9,7,3267.012
230,30000000,Bahria Town,7,6,2722.51
231,21000000,Bahria Town,6,5,2722.51
376,14000000,G-13,5,5,1089.004
377,14500000,Ghauri Town,5,4,1905.757
378,19000000,G-11,5,5,15246.056
379,850000000,F-6,10,9,261360.0
381,6500000,DHA Defence,3,3,2178.008
382,18500000,DHA Defence,4,3,2722.51
383,4200000,DHA Defence,0,2,1361.255
384,15500000,PWD Housing Scheme,5,5,2722.51
386,105000000,F-11,10,7,5445.0
391,31000000,G-13,10,8,2722.51
393,10500000,Kuri Road,4,3,2178.008
394,14500000,G-11,3,4,11979.043999999998
395,83000000,F-11,6,6,5445.0
397,13000000,Pakistan Town,4,4,3267.012
400,9000000,Chatha Bakhtawar,4,4,1361.255
401,65000000,G-11,6,6,5445.0
404,90000000,E-11,9,9,5445.0
405,80000000,F-10,6,6,5445.0
406,85000000,F-10,6,6,5445.0
407,85000000,F-11,6,6,5445.0
409,105000000,F-7,5,4,70785.0
594,8500000,Bani Gala,5,5,1361.255
597,13000000,G-13,4,3,1361.255
599,32000000,B-17,10,8,5445.0
600,50000000,F-8,5,4,25319.343
602,21000000,Bahria Town,6,5,2722.51
603,80000000,F-8,5,5,5445.0
606,36500000,Bahria Town,7,6,5445.0
607,26000000,DHA Defence,0,4,2722.51
608,23500000,Bahria Town,6,5,2722.51
609,43000000,Bahria Town,8,6,5445.0
610,23000000,Bahria Town,6,5,2722.51
611,27500000,G-11,5,5,2178.008
613,95000000,F-11,9,9,5445.0
769,72500000,Bahria Town,7,6,10890.0
771,320000000,F-8,10,10,196020.0
773,41000000,G-11,6,6,38659.642
776,12000000,Bhara kahu,4,4,2178.008
778,55000000,Emaar Canyon Views,7,7,98010.0
779,140000000,F-11,6,9,10890.0
780,54500000,I-8,0,4,33759.124
889,4500000,Lehtarar Road,3,2,1361.255
890,23500000,G-11,4,4,2178.008
905,37900000,G-9,6,6,38659.642
907,13000000,other,5,6,2722.51
908,165000000,F-8,6,6,10890.0
910,85000000,F-10,7,6,70785.0
916,110000000,F-8,9,0,5445.0
917,9500000,Soan Garden,3,3,2722.51
919,48000000,Bani Gala,8,8,81675.0
920,74800000,E-11,10,10,5445.0
921,30000000,G-8,0,5,2450.259
1050,28000000,Bahria Town,6,5,2994.7609999999995
1210,8500000,I-14,3,4,816.7529999999999
1211,22000000,DHA Defence,4,6,2722.51
1222,4200000,Tarlai,3,5,1089.004
1223,35000000,G-13,6,6,29675.359
1224,14000000,PWD Housing Scheme,4,4,18240.817
1225,4300000,Simly Dam Road,3,2,1361.255
1226,36000000,DHA Defence,7,7,4356.016
1227,350000000,E-7,8,8,103455.0
1228,150000000,F-7,7,7,98010.0
1229,4700000,Ghauri Town,0,0,1089.004
1230,16500000,I-9,4,5,1633.506
1231,170000000,E-11,0,0,10890.0
1232,4500000,Burma Town,3,2,1089.004
1234,40000000,Emaar Canyon Views,6,5,5445.0
1236,40000000,PWD Housing Scheme,6,6,5445.0
1237,4700000,Lehtarar Road,5,5,1361.255
1238,180000000,F-7,8,7,70785.0
1239,14000000,F-17,6,4,1905.757
1240,42000000,G-13,10,9,2994.7609999999995
1241,22500000,Bani Gala,4,3,5172.768999999999
1242,2300000,Burma Town,3,4,816.7529999999999
1244,30000000,National Police Foundation O-9,7,4,5445.0
1245,67500000,Naval Anchorage,8,7,10890.0
1246,4800000,Islamabad Highway,2,2,1089.004
1247,50000000,CBR Town,3,4,38659.642
1248,38000000,E-11,7,7,2722.51
1251,17000000,Bhara kahu,0,0,2994.7609999999995
1252,5200000,Ghauri Town,4,3,816.7529999999999
1253,170000000,F-7,4,4,119790.0
1254,12500000,Bani Gala,4,4,2722.51
1255,52000000,PWD Housing Scheme,0,3,3811.514
1256,46500000,DHA Defence,6,5,5445.0
1258,30000000,National Police Foundation,0,0,5445.0
1259,21000000,G-10,5,4,1361.255
1260,13500000,Bahria Town,4,3,1361.255
1262,170000000,F-7,4,4,114345.0
1263,2700000,Jhang Syedan,3,2,1089.004
1264,63000000,F-11,0,0,5445.0
1265,58000000,I-8,6,6,5445.0
1266,12500000,Korang Town,5,4,1361.255
1268,17500000,G-15,3,2,2178.008
1269,16900000,G-10,4,3,1633.506
1270,22000000,DHA Defence,5,6,2722.51
1271,21900000,DHA Defence,5,6,2722.51
1272,22000000,DHA Defence,5,5,2722.51
1275,3000000,Bhara kahu,2,2,1089.004
1276,5200000,Ghauri Town,3,2,1089.004
1277,14000000,D-17,5,5,1905.757
1278,3500000,Ghauri Town,2,3,1361.255
1279,26000000,Simly Dam Road,0,6,65340.0
1280,50000000,G-13,8,0,5445.0
1281,2600000,Arsalan Town,1,2,1089.004
1282,9700000,Kashmir Highway,6,4,14973.804999999998
1496,14500000,I-10,2,4,1361.255
1497,13000000,B-17,6,6,19874.323
1498,7500000,Soan Garden,4,3,2178.008
1499,90000000,PWD Road,0,0,5445.0
1500,170000000,F-7,6,6,114345.0
1502,14200000,other,2,2,1905.757
1503,13500000,Ghauri Town,5,3,2994.7609999999995
1504,19700000,other,2,2,26408.347
1505,25600000,other,3,3,43287.909
1506,4300000,DHA Defence,2,2,1361.255
1507,8500000,Bani Gala,6,4,1905.757
1508,11500000,B-17,6,4,2178.008
1509,350000000,F-8,9,8,27225.0
1511,350000000,F-6,10,11,234135.0
1514,21000000,Bahria Town,6,5,2722.51
1515,23000000,Bahria Town,6,5,2722.51
1516,40000000,Bahria Town,7,6,5445.0
1517,43000000,Bahria Town,7,6,5445.0
1518,23500000,Bahria Town,6,5,2722.51
1520,3800000,Ali Pur,2,3,1361.255
1521,85000000,E-11,9,7,5445.0
1522,9000000,FECHS,3,4,1361.255
1523,22000000,DHA Defence,5,6,2722.51
1524,170000000,E-11,6,6,114345.0
1527,190000000,F-8,9,9,70785.0
1528,5000000,Khanna Pul,0,6,816.7529999999999
1529,14000000,Pakistan Town,5,4,1633.506
1531,14000000,Pakistan Town,5,4,1633.506
1532,52000000,E-11,6,6,4356.016
1533,13000000,Pakistan Town,5,4,1633.506
1534,6300000,Shaheen Town,3,3,11979.043999999998
1814,15000000,Ghauri Town,6,5,1633.506
1815,36000000,E-11,7,5,27497.351
1821,50000000,National Police Foundation,0,0,4356.016
1822,21000000,Ghauri Town,7,7,2722.51
1823,64000000,E-11,10,7,4900.518
1828,50000000,Bani Gala,9,6,70785.0
1829,55000000,DHA Defence,5,5,5445.0
1830,42000000,Bahria Town,7,6,5445.0
1831,38000000,Bahria Town,6,5,5445.0
2081,22500000,Bahria Town,6,5,2722.51
2082,5300000,Ali Pur,2,2,11434.542
2083,22000000,DHA Defence,5,6,2722.51
2084,2550000,Islamabad Highway,2,1,816.7529999999999
2085,14000000,Bahria Town,3,3,1361.255
2086,23000000,G-13,4,4,29675.359
2088,21500000,E-11,7,6,1633.506
2089,1800000,Bhara kahu,2,2,6806.275
2090,5000000,Jhangi Syedan,0,0,2450.259
2091,9000000,F-17,5,4,1905.757
2092,15500000,G-15,0,0,2178.008
2093,17000000,G-15,5,5,1905.757
2094,15500000,Chak Shahzad,9,9,1905.757
2095,14000000,H-13,6,5,20418.825
2098,2250000,Lehtarar Road,2,2,816.7529999999999
2100,14000000,FECHS,6,5,1905.757
2357,31500000,E-11,7,6,2722.51
2358,22000000,DHA Defence,5,6,2722.51
2359,8700000,H-13,4,4,816.7529999999999
2360,14000000,FECHS,6,5,2178.008
2361,6700000,Ghauri Town,3,2,1905.757
2363,41500000,Bahria Town,7,7,4356.016
2365,28500000,G-14,6,5,2722.51
2366,34500000,G-13,9,7,29675.359
2367,25000000,Bani Gala,4,4,70785.0
2369,25000000,National Police Foundation,9,6,5445.0
2371,4600000,H-13,4,3,1089.004
2373,37500000,Bhara kahu,5,4,10890.0
2375,14000000,Pakistan Town,0,0,2722.51
2377,21500000,Shah Allah Ditta,4,4,2722.51
2378,18800000,Bhara kahu,5,5,59895.0
2381,6500000,Chatha Bakhtawar,4,3,1361.255
2382,17500000,Bani Gala,8,6,2450.259
2383,7000000,Islamabad Expressway,3,3,5445.0
2384,5700000,Kashmir Highway,3,3,31853.367
2385,17000000,Ghauri Town,7,5,2722.51
2386,3600000,Ali Pur,0,2,1089.004
2629,62500000,Bahria Town,7,5,98010.0
2630,37000000,Naval Anchorage,6,6,5445.0
2631,17000000,Margalla Town,5,5,1633.506
2634,7600000,Ghauri Town,3,2,1633.506
2635,13000000,Bahria Town,3,3,1361.255
2636,37500000,Tarnol,6,6,65340.0
2637,8800000,other,3,4,1361.255
2638,9000000,FECHS,2,2,1905.757
2639,4200000,Ali Pur,3,3,12251.294999999998
2640,14000000,Bahria Town,3,3,1361.255
2642,35000000,G-8,5,5,2178.008
2643,28000000,G-15,4,4,2178.008
2646,27000000,B-17,0,6,5445.0
2647,10000000,Shaheen Town,7,5,40020.897
2648,12000000,Soan Garden,3,3,38659.642
2649,3600000,other,2,4,2178.008
2651,11000000,H-13,5,5,1361.255
2653,25800000,G-15,7,7,3811.514
2654,32000000,G-9,4,5,38659.642
2655,38000000,DHA Defence,6,5,5445.0
2927,41500000,G-13,8,7,38659.642
2929,6500000,Ghauri Town,2,2,1361.255
2930,47500000,DHA Defence,0,9,4356.016
2931,90000000,F-6,6,6,48460.67799999999
2933,17000000,CBR Town,4,4,2994.7609999999995
2934,6500000,Bhara kahu,0,0,2178.008
2935,20000000,G-9,0,4,1633.506
2936,62500000,Bahria Town,6,5,98010.0
2937,51000000,E-11,7,6,4356.016
2938,11500000,Ghauri Town,6,4,1633.506
2940,22000000,DHA Defence,5,6,2722.51
2942,9200000,Shaheen Town,6,4,1361.255
2944,25000000,National Police Foundation O-9,6,6,5445.0
2946,12000000,Ghauri Town,6,6,1361.255
2947,13000000,Pakistan Town,5,4,1633.506
2948,200000000,F-7,10,9,10890.0
2950,16000000,other,5,5,2178.008
2951,13000000,Zaraj Housing Scheme,5,4,2722.51
